elapsed_s,cpu_percent,ram_mb,ram_percent
346.47,0.8,4172.1,203.7
346.97,1.8,4172.1,203.7
347.47,0.8,4172.2,203.7
347.97,0.8,4172.2,203.7
348.47,0.8,4172.2,203.7
348.98,0.8,4173.2,203.8
349.48,0.8,4173.2,203.8
349.98,3.0,4174.3,203.8
350.48,0.8,4174.3,203.8
350.98,0.8,4174.3,203.8
351.48,0.9,4174.3,203.8
351.98,1.2,4174.3,203.8
352.48,0.8,4174.3,203.8
352.98,0.8,4174.3,203.8
353.48,0.8,4174.2,203.8
353.98,0.8,4174.0,203.8
354.48,0.8,4174.0,203.8
354.98,2.8,4173.9,203.8
355.48,0.8,4173.8,203.8
355.99,0.8,4173.9,203.8
356.49,0.8,4173.8,203.8
356.99,1.9,4173.8,203.8
357.49,0.8,4173.8,203.8
357.99,0.8,4173.8,203.8
358.49,0.8,4173.6,203.8
358.99,0.8,4173.6,203.8
359.49,0.8,4173.6,203.8
359.99,3.0,4173.6,203.8
360.49,0.8,4173.6,203.8
360.99,0.8,4173.6,203.8
361.49,0.9,4173.6,203.8
361.99,1.3,4173.6,203.8
362.49,0.9,4173.6,203.8
362.99,0.8,4173.6,203.8
363.5,0.8,4173.6,203.8
364.0,0.8,4173.6,203.8
364.5,0.8,4173.6,203.8
365.0,2.8,4173.6,203.8
365.5,0.8,4173.6,203.8
366.0,0.8,4173.6,203.8
366.5,0.8,4173.6,203.8
367.0,1.5,4173.6,203.8
367.5,0.8,4173.6,203.8
368.0,0.8,4173.6,203.8
368.5,0.8,4173.6,203.8
369.0,0.9,4173.6,203.8
369.5,0.8,4173.6,203.8
370.0,3.4,4173.6,203.8
370.51,0.8,4173.6,203.8
371.01,0.8,4173.5,203.8
371.51,0.8,4173.5,203.8
372.01,1.6,4173.5,203.8
372.51,0.9,4173.5,203.8
373.01,0.8,4173.5,203.8
373.51,0.8,4173.5,203.8
374.01,0.8,4173.5,203.8
374.51,0.8,4173.5,203.8
375.01,3.7,4173.5,203.8
375.51,0.8,4173.5,203.8
376.01,0.8,4173.5,203.8
376.51,0.8,4173.5,203.8
377.01,1.2,4173.5,203.8
377.51,0.8,4173.6,203.8
378.02,0.8,4173.6,203.8
378.52,0.8,4173.6,203.8
379.02,0.8,4173.5,203.8
379.52,0.8,4173.5,203.8
380.02,2.5,4173.5,203.8
380.52,0.8,4173.5,203.8
381.02,0.8,4173.5,203.8
381.52,0.8,4173.5,203.8
382.02,2.3,4173.5,203.8
382.52,0.9,4173.5,203.8
383.02,0.9,4173.5,203.8
383.52,0.8,4173.5,203.8
384.02,0.8,4173.5,203.8
384.52,0.8,4173.5,203.8
385.02,2.4,4173.5,203.8
385.53,0.8,4173.5,203.8
386.03,0.8,4173.5,203.8
386.53,0.8,4173.5,203.8
387.03,1.8,4173.6,203.8
387.53,0.8,4173.5,203.8
388.03,0.8,4173.5,203.8
388.53,0.8,4173.5,203.8
389.03,0.8,4173.5,203.8
389.53,0.8,4173.5,203.8
390.03,3.0,4173.5,203.8
390.53,0.8,4173.5,203.8
391.03,0.8,4173.5,203.8
391.53,0.9,4173.5,203.8
392.03,2.3,4173.5,203.8
392.54,0.8,4173.5,203.8
393.04,0.8,4173.5,203.8
393.54,0.8,4173.5,203.8
394.04,0.8,4173.5,203.8
394.54,0.8,4173.5,203.8
395.04,2.7,4173.5,203.8
395.54,0.8,4173.5,203.8
396.04,0.8,4173.5,203.8
396.54,0.8,4173.5,203.8
397.04,0.9,4173.5,203.8
397.54,0.8,4173.5,203.8
398.04,0.8,4173.5,203.8
398.54,0.8,4173.5,203.8
399.04,0.9,4173.5,203.8
399.54,0.8,4173.5,203.8
400.05,2.7,4173.5,203.8
400.55,1.0,4173.5,203.8
401.05,0.8,4173.5,203.8
401.55,0.8,4173.5,203.8
402.05,1.8,4173.5,203.8
402.55,0.8,4173.5,203.8
403.05,0.8,4173.5,203.8
403.55,0.8,4173.5,203.8
404.05,0.8,4173.5,203.8
404.55,0.8,4173.5,203.8
405.05,2.9,4173.5,203.8
405.55,0.8,4173.5,203.8
406.05,0.8,4173.5,203.8
406.55,0.8,4173.5,203.8
407.05,1.0,4173.5,203.8
